iter	Logloss
0	0.6767998675
1	0.663676882
2	0.650847216
3	0.637845049
4	0.6252677172
5	0.613589298
6	0.6035545329
7	0.5940868772
8	0.5850556328
9	0.5774596261
10	0.5701034145
11	0.5622519931
12	0.5558582632
13	0.5494457552
14	0.543585561
15	0.5371211017
16	0.5308984027
17	0.5255944833
18	0.5202434022
19	0.5153399421
20	0.5108855672
21	0.5053317885
22	0.5003060169
23	0.4970014307
24	0.4923469246
25	0.4890999978
26	0.4850347386
27	0.4821475314
28	0.4783445964
29	0.4750388162
30	0.4725752906
31	0.4700985562
32	0.4668717985
33	0.4638984047
34	0.4616715883
35	0.4594489705
36	0.4574070477
37	0.4553811041
38	0.4530996768
39	0.4515070082
40	0.4497726394
41	0.4482215057
42	0.4476353199
43	0.4459032672
44	0.4444204672
45	0.443114314
46	0.44179509
47	0.440604523
48	0.4393166013
49	0.438153955
50	0.4370414846
51	0.4357794684
52	0.4346947631
53	0.4333597463
54	0.4322896073
55	0.431318796
56	0.4303849485
57	0.4296272195
58	0.4286392771
59	0.4277008074
60	0.4269499801
61	0.4261471092
62	0.4254949078
63	0.4247016561
64	0.4237663073
65	0.4231032492
66	0.4219769705
67	0.4212903535
68	0.4206878247
69	0.4201185528
70	0.4194104544
71	0.4188621818
72	0.4181644543
73	0.4173961903
74	0.4168672908
75	0.4164241827
76	0.41590135
77	0.4154727856
78	0.4150545033
79	0.4144672661
80	0.4140477514
81	0.4135426845
82	0.4129410679
83	0.4125315413
84	0.4121513426
85	0.4117313997
86	0.4113085525
87	0.4107932723
88	0.4104435048
89	0.4099990226
90	0.4094945944
91	0.4091160935
92	0.4087603332
93	0.4083839819
94	0.4080107715
95	0.4076275578
96	0.4070658825
97	0.4066939072
98	0.4063049318
99	0.405957509
100	0.4056791493
101	0.405407508
102	0.4050424604
103	0.4046589777
104	0.4043331446
105	0.4040731672
106	0.403796797
107	0.4035085319
108	0.4030932764
109	0.4027297018
110	0.4025133883
111	0.4022975396
112	0.4020288058
113	0.4018351558
114	0.4015135344
115	0.4013002343
116	0.401062945
117	0.4007667981
118	0.4005952034
119	0.4002898784
120	0.4000695871
121	0.3998062285
122	0.3996551849
123	0.3993527254
124	0.3990971655
125	0.3988519928
126	0.3985301228
127	0.3982855804
128	0.3980303879
129	0.3977557847
130	0.3975323762
131	0.3973133194
132	0.3970557365
133	0.3968661416
134	0.3967163436
135	0.3964881
136	0.3962313617
137	0.3961128206
138	0.3959465368
139	0.3957286594
140	0.3954275384
141	0.395294694
142	0.3951318768
143	0.3949669394
144	0.3948429369
145	0.3946513094
146	0.3943981107
147	0.3942338948
148	0.3939285741
149	0.3936841515
150	0.3935480708
151	0.3933633018
152	0.3931297963
153	0.3928107473
154	0.3925931861
155	0.3923739876
156	0.3921758337
157	0.3919175484
158	0.3917429944
159	0.3915983259
160	0.3914458272
161	0.3913058883
162	0.3911074021
163	0.3909917648
164	0.3907789383
165	0.3906518388
166	0.3904391864
167	0.3903110523
168	0.3900836199
169	0.3899584817
170	0.389728945
171	0.3895674031
172	0.3893826717
173	0.3892252794
174	0.3890796358
175	0.3888470751
176	0.3886457981
177	0.3884442351
178	0.3882305527
179	0.3881506234
180	0.3880001645
181	0.3878397627
182	0.3876885356
183	0.3875765554
184	0.387442869
185	0.3873030137
186	0.3872138234
187	0.3870286776
188	0.3868341108
189	0.3866466037
190	0.3864074865
191	0.3862210814
192	0.3861330239
193	0.3860328817
194	0.3858655432
195	0.3857689942
196	0.3855796274
197	0.3854897607
198	0.385211903
199	0.3850686735
200	0.3850181504
201	0.3848509831
202	0.3846961254
203	0.3844839936
204	0.3843365172
205	0.3842534187
206	0.3842007208
207	0.38404188
208	0.3839188963
209	0.3837534172
210	0.3836008854
211	0.3834465754
212	0.3832026921
213	0.3830657658
214	0.3829447284
215	0.3828184977
216	0.3827655034
217	0.3827556247
218	0.3826531979
219	0.3825574769
220	0.3823687556
221	0.3821810019
222	0.3820493489
223	0.3819275592
224	0.3818554399
225	0.3817496786
226	0.3816370955
227	0.3815632924
228	0.3814295557
229	0.3812477846
230	0.3811420166
231	0.3809940073
232	0.3808578003
233	0.3807009727
234	0.3805278285
235	0.3803420052
236	0.3802275437
237	0.3801130387
238	0.3799470912
239	0.379885304
240	0.3797328461
241	0.3795410385
242	0.3794446985
243	0.3794313819
244	0.3793561781
245	0.379262444
246	0.3791866868
247	0.3790544267
248	0.3790127435
249	0.3788261541
250	0.3787714438
251	0.3786992911
252	0.3786034977
253	0.378450897
254	0.3783522505
255	0.3782037158
256	0.3780448596
257	0.3778511087
258	0.377670376
259	0.3775851227
260	0.3773705179
261	0.3772899203
262	0.3771792214
263	0.3771068916
264	0.3769505987
265	0.3767331659
266	0.3766730154
267	0.376609671
268	0.3765513847
269	0.376392965
270	0.3763550511
271	0.3763517635
272	0.3762042978
273	0.376041101
274	0.3759012291
275	0.3757664839
276	0.3756956582
277	0.3755124561
278	0.3754582816
279	0.3752221245
280	0.3752191715
281	0.3750777826
282	0.3748621544
283	0.3747582712
284	0.3746324539
285	0.3744534905
286	0.3742417631
287	0.3741758234
288	0.3740080595
289	0.3738932121
290	0.3738684356
291	0.3737546398
292	0.3736455797
293	0.3735077408
294	0.3734111792
295	0.3733929999
296	0.3732206811
297	0.3730927438
298	0.3730023715
299	0.3729924052
300	0.3728381346
301	0.3727538837
302	0.372708253
303	0.3725579168
304	0.3723818183
305	0.3722069758
306	0.3721072294
307	0.3720021618
308	0.3718892484
309	0.3717239752
310	0.3715320356
311	0.3714656257
312	0.3713085781
313	0.3712254026
314	0.3710870396
315	0.370957358
316	0.3707992538
317	0.3706400618
318	0.3705547932
319	0.370439685
320	0.3703670075
321	0.3702140017
322	0.3700088855
323	0.3698416237
324	0.3697101773
325	0.3696159772
326	0.3695001098
327	0.3694101895
328	0.3692977309
329	0.3692967669
330	0.3690434557
331	0.3689655959
332	0.3688144996
333	0.368679482
334	0.3686604236
335	0.3685135607
336	0.3682305441
337	0.3681603863
338	0.3680409496
339	0.3679398879
340	0.3679066877
341	0.3678102048
342	0.3677433432
343	0.3676572098
344	0.3675127838
345	0.3674340545
346	0.3673029378
347	0.3671301713
348	0.3669772345
349	0.3669240027
350	0.3666890017
351	0.3665489297
352	0.3663778935
353	0.3662916854
354	0.3662023967
355	0.3660482439
356	0.3659919452
357	0.3659112846
358	0.3657464077
359	0.3656074274
360	0.3654919029
361	0.365383626
362	0.3651997699
363	0.365128532
364	0.3651066613
365	0.3649153965
366	0.364815257
367	0.3647296203
368	0.3645858502
369	0.3645727985
370	0.3643706977
371	0.3641629665
372	0.3640484479
373	0.3639954337
374	0.3638905713
375	0.3637967487
376	0.3637038239
377	0.3636007966
378	0.3634812185
379	0.363353366
380	0.3632173039
381	0.363110285
382	0.3630344977
383	0.3629028776
384	0.3628189002
385	0.3627391627
386	0.3626586931
387	0.3624634036
388	0.3622919607
389	0.3621975822
390	0.3620564018
391	0.3619142512
392	0.3617736159
393	0.3617004166
394	0.3615179912
395	0.3613128531
396	0.3611602469
397	0.3609808725
398	0.3607761814
399	0.360657891
400	0.3606256735
401	0.3605718258
402	0.3604768898
403	0.3603252683
404	0.3602232521
405	0.3600966645
406	0.359927446
407	0.3598163523
408	0.3596705161
409	0.3595072328
410	0.3594237731
411	0.3593626286
412	0.3591721993
413	0.3590807725
414	0.3589455593
415	0.3588162075
416	0.358679331
417	0.3586118908
418	0.3584336631
419	0.3583292869
420	0.3582010874
421	0.3581398311
422	0.3579981735
423	0.3578867202
424	0.3578286997
425	0.3576982184
426	0.3575974966
427	0.357489935
428	0.3574072415
429	0.357340453
430	0.3572226626
431	0.3570924313
432	0.3569866727
433	0.3568946395
434	0.3568005495
435	0.3566778556
436	0.3565613995
437	0.3564891318
438	0.3563523884
439	0.3562614965
440	0.3561515756
441	0.3560345823
442	0.3559556527
443	0.3557223783
444	0.3556045666
445	0.3554524298
446	0.3554076187
447	0.3553071871
448	0.3551103114
449	0.3549933252
450	0.3548228035
451	0.3546710943
452	0.3545506192
453	0.3544076289
454	0.3542516827
455	0.3541328859
456	0.35394169
457	0.3538224575
458	0.3537619253
459	0.3536712358
460	0.3535429549
461	0.3534260943
462	0.3533235565
463	0.3531634508
464	0.3530713485
465	0.3529238063
466	0.3528005351
467	0.3527182908
468	0.3526484153
469	0.3525316438
470	0.3523433542
471	0.3521755071
472	0.3520466801
473	0.3519935738
474	0.3518618378
475	0.3517570887
476	0.3516420684
477	0.351460025
478	0.3513416307
479	0.3512196355
480	0.3511239405
481	0.3509939356
482	0.350915539
483	0.3507832864
484	0.35066863
485	0.3506076434
486	0.3504794547
487	0.3503644198
488	0.3502664747
489	0.350105008
490	0.3499892962
491	0.3498382527
492	0.3497518092
493	0.3496774518
494	0.3495845747
495	0.3495211385
