iter	Passed	Remaining
0	4	4543
1	9	4865
2	14	4821
3	18	4717
4	23	4681
5	28	4728
6	32	4672
7	37	4631
8	42	4650
9	46	4631
10	51	4645
11	57	4697
12	68	5170
13	72	5110
14	77	5087
15	82	5056
16	87	5035
17	92	5056
18	97	5015
19	101	4984
20	106	4948
21	111	4939
22	115	4910
23	120	4896
24	125	4902
25	130	4881
26	135	4866
27	141	4919
28	146	4906
29	151	4897
30	156	4892
31	161	4877
32	165	4858
33	171	4871
34	175	4849
35	180	4841
36	185	4833
37	191	4845
38	196	4839
39	200	4802
40	204	4793
41	209	4777
42	212	4728
43	217	4731
44	223	4742
45	228	4738
46	233	4738
47	239	4741
48	245	4756
49	250	4750
50	258	4804
51	267	4871
52	275	4921
53	281	4930
54	290	4991
55	299	5046
56	306	5065
57	312	5081
58	319	5100
59	328	5149
60	336	5182
61	342	5184
62	351	5234
63	366	5361
64	379	5460
65	386	5472
66	393	5474
67	400	5485
68	409	5529
69	420	5588
70	426	5584
71	434	5594
72	441	5606
73	454	5684
74	483	5966
75	496	6035
76	507	6089
77	525	6217
78	534	6234
79	545	6268
80	555	6302
81	561	6284
82	566	6260
83	572	6237
84	578	6232
85	585	6218
86	590	6196
87	595	6171
88	600	6144
89	604	6115
90	610	6096
91	615	6071
92	619	6044
93	624	6023
94	629	5998
95	634	5978
96	640	5960
97	645	5940
98	651	5927
99	657	5914
100	661	5890
101	666	5867
102	671	5844
103	676	5825
104	680	5804
105	685	5785
106	690	5764
107	695	5743
108	700	5727
109	705	5711
110	711	5695
111	716	5682
112	721	5665
113	726	5648
114	731	5628
115	735	5608
116	740	5591
117	745	5572
118	750	5559
119	756	5549
120	762	5536
121	766	5515
122	771	5497
123	775	5481
124	781	5467
125	785	5450
126	790	5436
127	797	5430
128	801	5414
129	806	5400
130	812	5391
131	817	5377
132	823	5370
133	829	5362
134	835	5351
135	840	5337
136	844	5320
137	855	5342
138	860	5330
139	866	5322
140	870	5306
141	875	5290
142	881	5280
143	886	5270
144	891	5258
145	897	5250
146	902	5238
147	907	5225
148	912	5211
149	917	5198
150	921	5181
151	925	5165
152	932	5160
153	937	5147
154	941	5133
155	946	5123
156	952	5112
157	957	5102
158	962	5090
159	967	5079
160	972	5068
161	978	5060
162	983	5050
163	988	5037
164	993	5028
165	998	5016
166	1003	5003
167	1007	4990
168	1012	4980
169	1017	4967
170	1023	4960
171	1028	4949
172	1033	4938
173	1037	4925
174	1043	4917
175	1052	4926
176	1057	4916
177	1062	4904
178	1066	4892
179	1071	4880
180	1076	4869
181	1081	4859
182	1086	4849
183	1090	4838
184	1095	4825
185	1100	4817
186	1106	4811
187	1113	4807
188	1117	4796
189	1123	4787
190	1129	4782
191	1133	4771
